[Mon Nov 27 12:03:17.684330 2017] [:error] [pid 3143] [client 10.0.2.2:62267] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 30
[Mon Nov 27 12:04:35.921504 2017] [:error] [pid 3141] [client 10.0.2.2:62280] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 30
[Mon Nov 27 12:06:15.926409 2017] [:error] [pid 3131] [client 10.0.2.2:62308] PHP Parse error:  syntax error, unexpected 'endfor' (T_ENDFOR), expecting end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 38
[Mon Nov 27 12:07:09.944343 2017] [:error] [pid 3128] [client 10.0.2.2:62322] PHP Parse error:  syntax error, unexpected 'endfor' (T_ENDFOR), expecting end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 32
[Mon Nov 27 12:08:00.702804 2017] [:error] [pid 3145] [client 10.0.2.2:62331] PHP Parse error:  syntax error, unexpected 'endfor' (T_ENDFOR), expecting end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 32
[Mon Nov 27 12:18:28.402576 2017] [:error] [pid 3139] [client 10.0.2.2:62515] PHP Parse error:  syntax error, unexpected 'endfor' (T_ENDFOR), expecting end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 44
[Mon Nov 27 15:08:01.895720 2017] [:error] [pid 3143] [client 10.0.2.2:62502] PHP Parse error:  syntax error, unexpected ',' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 50, referer: http://localhost/Portland/index.php/page/4/
[Mon Nov 27 15:21:50.498182 2017] [:error] [pid 3145] [client 10.0.2.2:49709] PHP Parse error:  syntax error, unexpected 'src' (T_STRING), expecting ')' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 51, referer: http://localhost/Portland/index.php/page/4/
[Mon Nov 27 15:23:59.104764 2017] [:error] [pid 3128] [client 10.0.2.2:49722] PHP Parse error:  syntax error, unexpected 'template_directory' (T_STRING), expecting ')' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 51, referer: http://localhost/Portland/index.php/page/4/
[Mon Nov 27 15:38:17.251226 2017] [:error] [pid 3143] [client 10.0.2.2:50150] PHP Parse error:  syntax error, unexpected 'src' (T_STRING), expecting ')' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 51, referer: http://localhost/Portland/index.php/page/3/
